Data Table for Daily Death Trends - The United States,,,,
Date generated: Wed Nov 03 2021 10:08:54 GMT-0400 (Eastern Daylight Time),,,,
State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,May 19 2021,594,534,0
United States,May 18 2021,590,549,0
United States,May 17 2021,391,550,0
United States,May 16 2021,452,553,0
United States,May 15 2021,435,548,0
United States,May 14 2021,685,575,0
United States,May 13 2021,591,591,0
United States,May 12 2021,703,600,0
United States,May 11 2021,599,600,0
United States,May 10 2021,406,612,0
United States,May  9 2021,423,623,0
United States,May  8 2021,619,636,0
United States,May  7 2021,798,639,0
United States,May  6 2021,652,638,0
United States,May  5 2021,705,650,0
United States,May  4 2021,682,664,0
United States,May  3 2021,482,642,0
United States,May  2 2021,517,643,0
United States,May  1 2021,641,634,0
United States,Apr 30 2021,791,638,0
United States,Apr 29 2021,738,646,0
United States,Apr 28 2021,801,649,0
United States,Apr 27 2021,529,642,0
United States,Apr 26 2021,487,672,0
United States,Apr 25 2021,454,670,0
United States,Apr 24 2021,666,679,0
United States,Apr 23 2021,849,676,0
United States,Apr 22 2021,760,670,0
United States,Apr 21 2021,749,675,0
United States,Apr 20 2021,739,679,0
United States,Apr 19 2021,478,680,0
United States,Apr 18 2021,516,689,0
United States,Apr 17 2021,646,687,0
United States,Apr 16 2021,805,702,0
United States,Apr 15 2021,794,704,0
United States,Apr 14 2021,781,708,0
United States,Apr 13 2021,745,713,0
United States,Apr 12 2021,541,706,0
United States,Apr 11 2021,498,685,0
United States,Apr 10 2021,750,691,0
United States,Apr  9 2021,823,691,26
United States,Apr  8 2021,823,690,0
United States,Apr  7 2021,813,687,0
United States,Apr  6 2021,694,706,0
United States,Apr  5 2021,400,708,0
United States,Apr  4 2021,536,731,0
United States,Apr  3 2021,752,742,0
United States,Apr  2 2021,812,754,0
United States,Apr  1 2021,803,785,0
United States,Mar 31 2021,950,809,0
United States,Mar 30 2021,706,825,0
United States,Mar 29 2021,562,826,0
United States,Mar 28 2021,613,880,0
United States,Mar 27 2021,835,867,0
United States,Mar 26 2021,1031,847,0
United States,Mar 25 2021,970,868,0
United States,Mar 24 2021,1060,852,0
United States,Mar 23 2021,712,841,0
United States,Mar 22 2021,942,863,0
United States,Mar 21 2021,522,831,0
United States,Mar 20 2021,695,855,0
United States,Mar 19 2021,1177,887,0
United States,Mar 18 2021,856,901,0
United States,Mar 17 2021,987,961,0
United States,Mar 16 2021,868,1043,0
United States,Mar 15 2021,712,1066,0
United States,Mar 14 2021,690,1088,0
United States,Mar 13 2021,923,1118,0
United States,Mar 12 2021,1271,1162,165
United States,Mar 11 2021,1278,1251,0
United States,Mar 10 2021,1562,1283,0
United States,Mar  9 2021,1026,1278,138
United States,Mar  8 2021,872,1324,0
United States,Mar  7 2021,899,1376,0
United States,Mar  6 2021,1231,1396,0
United States,Mar  5 2021,1894,1441,0
United States,Mar  4 2021,1497,1431,0
United States,Mar  3 2021,1533,1624,0
United States,Mar  2 2021,1343,1686,0
United States,Mar  1 2021,1237,1729,0
United States,Feb 28 2021,1042,1768,0
United States,Feb 27 2021,1545,1829,0
United States,Feb 26 2021,1825,1872,0
United States,Feb 25 2021,2847,1944,0
United States,Feb 24 2021,1966,1851,0
United States,Feb 23 2021,1647,1882,0
United States,Feb 22 2021,1507,1850,0
United States,Feb 21 2021,1469,1837,0
United States,Feb 20 2021,1849,1844,0
United States,Feb 19 2021,2325,1867,0
United States,Feb 18 2021,2200,1877,0
United States,Feb 17 2021,2181,2006,0
United States,Feb 16 2021,1425,2086,0
United States,Feb 15 2021,1414,2221,0
United States,Feb 14 2021,1519,2260,0
United States,Feb 13 2021,2010,2301,1204
United States,Feb 12 2021,2394,2380,2559
United States,Feb 11 2021,3101,2503,0
United States,Feb 10 2021,2745,2487,0
United States,Feb  9 2021,2365,2555,0
United States,Feb  8 2021,1691,2577,0
United States,Feb  7 2021,1801,2640,0
United States,Feb  6 2021,2567,2712,0
United States,Feb  5 2021,3257,2741,0
United States,Feb  4 2021,2983,2740,0
United States,Feb  3 2021,3223,2798,0
United States,Feb  2 2021,2522,2855,0
United States,Feb  1 2021,2128,2946,0
United States,Jan 31 2021,2305,2967,0
United States,Jan 30 2021,2771,3004,0
United States,Jan 29 2021,3251,3026,0
United States,Jan 28 2021,3391,3095,0
United States,Jan 27 2021,3620,3161,0
United States,Jan 26 2021,3161,3182,0
United States,Jan 25 2021,2273,3106,0
United States,Jan 24 2021,2562,3132,0
United States,Jan 23 2021,2929,3142,0
United States,Jan 22 2021,3732,3236,0
United States,Jan 21 2021,3855,3189,0
United States,Jan 20 2021,3762,3172,0
United States,Jan 19 2021,2634,3212,0
United States,Jan 18 2021,2452,3354,0
United States,Jan 17 2021,2632,3399,0
United States,Jan 16 2021,3585,3399,0
United States,Jan 15 2021,3403,3363,0
United States,Jan 14 2021,3736,3423,0
United States,Jan 13 2021,4047,3449,0
United States,Jan 12 2021,3626,3420,0
United States,Jan 11 2021,2767,3390,0
United States,Jan 10 2021,2631,3318,0
United States,Jan  9 2021,3333,3250,0
United States,Jan  8 2021,3827,3122,0
United States,Jan  7 2021,3917,3002,0
United States,Jan  6 2021,3841,2974,0
United States,Jan  5 2021,3415,2961,0
United States,Jan  4 2021,2263,2948,0
United States,Jan  3 2021,2156,2964,0
United States,Jan  2 2021,2438,2949,0
United States,Jan  1 2021,2987,2867,0
United States,Dec 31 2020,3724,2773,0
United States,Dec 30 2020,3748,2669,0
United States,Dec 29 2020,3324,2588,0
United States,Dec 28 2020,2375,2533,0
United States,Dec 27 2020,2051,2530,0
United States,Dec 26 2020,1863,2545,0
United States,Dec 25 2020,2328,2665,0
United States,Dec 24 2020,2997,2751,0
United States,Dec 23 2020,3184,2806,0
United States,Dec 22 2020,2933,2831,0
United States,Dec 21 2020,2354,2805,0
United States,Dec 20 2020,2158,2779,0
United States,Dec 19 2020,2706,2768,0
United States,Dec 18 2020,2926,2728,0
United States,Dec 17 2020,3383,2778,0
United States,Dec 16 2020,3358,2686,0
United States,Dec 15 2020,2754,2689,0
United States,Dec 14 2020,2171,2664,0
United States,Dec 13 2020,2082,2665,0
United States,Dec 12 2020,2424,2618,0
